id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	1	Glenn Ramke	1	Adult	Feeding	2005	1	8	"A" chased 3 Y-b ducks, must have nest nearby		South Africa	KwaZulu-Natal	Unknown		-27.49222	30.14194	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	2	Bradley Gibbons	15	Adult	Feeding	2005	6	2	"thick Karoo" is explained by thick karoo bossie vegetation		South Africa	Eastern Cape	Unknown		-32.56944	23.41806	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	3	Bradley Gibbons	3	2 Adults, 1 Juvenile	Unknown	2005	6	2	"thick Karoo" is explained by thick karoo bossie vegetation		South Africa	Western Cape	Unknown		-31.91889	23.66389	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	4	Bradley Gibbons	3	2 Adults, 1 Juvenile	Unknown	2005	4	11	1 had a shorter tail, but was big - therefore an juvenile		South Africa	Northern Cape	Unknown		-31.05361	25.33417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	5	Bradley Gibbons and Marius Marais	25	Adult	Feeding	2005	5	19	1 Leucistic crane amongst this group		South Africa	Eastern Cape	Unknown		-31.89861	24.75917	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	6	Mark van Niekerk	28	Adult	Feeding	2005	5	20	1 Wattled Crane is usually seen with this group of Crowned Crane- Fledgling from the Gatberg Wattled Crane Pair		South Africa	Eastern Cape	Unknown		-31.26111	28.04556	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	KwaZulu-Natal Crane Foundation	HumanObservation	7	Brent Coverdale	23	Adult	Feeding	2003	6	3	1. Ll: large blue; Rl: small green/small yellow 2.Ll: small red/small orange; Rl: large blue 3.Ll: small blue/small green; Rl:large blue 4. Ll: small blue/small orange; Rl: large blue (part of a pair) 5. Ll: small yellow; Rl: large blue		South Africa	KwaZulu-Natal	Unknown		-29.31111	30.02444	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	8	Bradley Gibbons&Marianne	5	Adult	Unknown	2005	2	17	2 were on the left side and 3 on the right side. The 2 on the left probably had chicks,as they walked as though they had chicks		South Africa	Northern Cape	Unknown		-30.36222	24.73306	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	9	Bradley Gibbons + Leon	205	Adult	Feeding	2005	2	15	69 Birds were first counted, then they flew to a group of 205; Saw red rings on both legs	Flock (single species)	South Africa	Northern Cape	Unknown		-30.88028	24.21417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	10	Bradley Gibbons	3	2 Adults, 1 Juvenile	Unknown	2005	3	28	Assume that 1 is a chick - didn't stop to confirm	Family group	South Africa	Western Cape	Unknown		-34.08722	20.68889	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	11	Bradley Gibbons	3	2 Adults, 1 Juvenile	Unknown	2005	3	31	Assume that this the same group - as it was very close to where the others were seen	Family group	South Africa	Eastern Cape	Unknown		-31.74167	24.50306	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	12	Ronelle Visagie	4	Adult	Feeding	2005	10	19	At water trough with sheep		South Africa	Northern Cape	Unknown		-30.07389	23.90222	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	13	Ronelle Visagie	2	Adult	Feeding	2005	10	12	At water trough with sheep	Pair	South Africa	Northern Cape	Unknown		-30.96444	24.52111	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	14	Ronelle Visagie	2	Adult	Feeding	2005	10	12	At water trough with sheep	Pair	South Africa	Northern Cape	Unknown		-30.56917	24.55444	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	15	Ronelle Visagie	5	Adult	Feeding	2005	10	12	At water trough with sheep		South Africa	Northern Cape	Unknown		-30.55389	24.54583	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	16	Ronelle Visagie	2	Adult	Feeding	2005	10	12	At water trough with sheep		South Africa	Northern Cape	Unknown		-30.42528	24.43194	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	17	Glenn Ramke	2	Adult	Feeding	2005	1	13	Away from nest well over an hour maybe lost eggs		South Africa	KwaZulu-Natal	Unknown		-27.49222	30.14194	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	18	Bradley Gibbons + Leon	2	Adult	Feeding	2005	2	14	Between 2 transmission power lines	Pair	South Africa	Northern Cape	Unknown		-30.43000	24.36389	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	19	L.Wichman	4	2 Adults, 2 Juveniles	Breeding	2005	2	10	Bivane Pair		South Africa	KwaZulu-Natal	Mooihoek		-27.54389	30.40556	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	20	Glenn Ramke	2	Adult	Feeding	2005	1	21	breeding; 1 at nest very restless, calling, walking around then flew, landed about 25mm from mate,25 min later few back to nest		South Africa	Mpumalanga	Unknown		-27.34222	30.14194	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	21	Bradley Gibbons + Leon	2	Adult	Unknown	2005	2	15	By a water trough	Pair	South Africa	Northern Cape	Unknown		-31.05167	24.40028	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	22	Ronelle Visagie	2	Adult	Feeding	2005	10	27	Calling to above mentioned pairs	Pair	South Africa	Northern Cape	Unknown		-30.47889	24.62611	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
