id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	1	Glenn Ramke	1	Adult	Feeding	2005	1	8	A chased 3 Y-b ducks, must have nest nearby		South Africa	KwaZulu-Natal	Unknown		-2.749.222	3.014.194	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	2	Bradley Gibbons	15	Adult	Feeding	2005	6	2	thick Karoo is explained by thick karoo bossie vegetation		South Africa	Eastern Cape	Unknown		-3.256.944	2.341.806	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	3	Bradley Gibbons	3	2 Adults, 1 Juvenile	Unknown	2005	6	2	thick Karoo is explained by thick karoo bossie vegetation		South Africa	Western Cape	Unknown		-3.191.889	2.366.389	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	4	Bradley Gibbons	3	2 Adults, 1 Juvenile	Unknown	2005	4	11	1 had a shorter tail, but was big - therefore an juvenile		South Africa	Northern Cape	Unknown		-3.105.361	2.533.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	5	Bradley Gibbons and Marius Marais	25	Adult	Feeding	2005	5	19	1 Leucistic crane amongst this group		South Africa	Eastern Cape	Unknown		-3.189.861	2.475.917	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	6	Mark van Niekerk	28	Adult	Feeding	2005	5	20	1 Wattled Crane is usually seen with this group of Crowned Crane- Fledgling from the Gatberg Wattled Crane Pair		South Africa	Eastern Cape	Unknown		-3.126.111	2.804.556	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	KwaZulu-Natal Crane Foundation	HumanObservation	7	Brent Coverdale	23	Adult	Feeding	2003	6	3	"1. Ll: large blue; Rl: small green/small yellow 2.Ll: small red/small orange; Rl: large blue 3.Ll: small blue/small green; Rl:large blue 4. Ll: small blue/small orange; Rl: large blue (part of a pair) 5. Ll: small yellow; Rl: large blue"		South Africa	KwaZulu-Natal	Unknown		-2.931.111	3.002.444	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	8	Bradley Gibbons&Marianne	5	Adult	Unknown	2005	2	17	2 were on the left side and 3 on the right side. The 2 on the left probably had chicks,as they walked as though they had chicks		South Africa	Northern Cape	Unknown		-3.036.222	2.473.306	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	9	Bradley Gibbons + Leon	205	Adult	Feeding	2005	2	15	"69 Birds were first counted, then they flew to a group of 205; Saw red rings on both legs"	Flock (single species)	South Africa	Northern Cape	Unknown		-3.088.028	2.421.417	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	10	Bradley Gibbons	3	2 Adults, 1 Juvenile	Unknown	2005	3	28	Assume that 1 is a chick - didn't stop to confirm	Family group	South Africa	Western Cape	Unknown		-3.408.722	2.068.889	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	11	Bradley Gibbons	3	2 Adults, 1 Juvenile	Unknown	2005	3	31	Assume that this the same group - as it was very close to where the others were seen	Family group	South Africa	Eastern Cape	Unknown		-3.174.167	2.450.306	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	12	Ronelle Visagie	4	Adult	Feeding	2005	10	19	At water trough with sheep		South Africa	Northern Cape	Unknown		-3.007.389	2.390.222	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	13	Ronelle Visagie	2	Adult	Feeding	2005	10	12	At water trough with sheep	Pair	South Africa	Northern Cape	Unknown		-3.096.444	2.452.111	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	14	Ronelle Visagie	2	Adult	Feeding	2005	10	12	At water trough with sheep	Pair	South Africa	Northern Cape	Unknown		-3.056.917	2.455.444	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	15	Ronelle Visagie	5	Adult	Feeding	2005	10	12	At water trough with sheep		South Africa	Northern Cape	Unknown		-3.055.389	2.454.583	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	16	Ronelle Visagie	2	Adult	Feeding	2005	10	12	At water trough with sheep		South Africa	Northern Cape	Unknown		-3.042.528	2.443.194	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	17	Glenn Ramke	2	Adult	Feeding	2005	1	13	Away from nest well over an hour maybe lost eggs		South Africa	KwaZulu-Natal	Unknown		-2.749.222	3.014.194	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	18	Bradley Gibbons + Leon	2	Adult	Feeding	2005	2	14	Between 2 transmission power lines	Pair	South Africa	Northern Cape	Unknown		-3.043.000	2.436.389	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	19	L.Wichman	4	2 Adults, 2 Juveniles	Breeding	2005	2	10	Bivane Pair		South Africa	KwaZulu-Natal	Mooihoek		-2.754.389	3.040.556	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	20	Glenn Ramke	2	Adult	Feeding	2005	1	21	"breeding; 1 at nest very restless, calling, walking around then flew, landed about 25mm from mate,25 min later few back to nest"		South Africa	Mpumalanga	Unknown		-2.734.222	3.014.194	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	21	Bradley Gibbons + Leon	2	Adult	Unknown	2005	2	15	By a water trough	Pair	South Africa	Northern Cape	Unknown		-3.105.167	2.440.028	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	22	Ronelle Visagie	2	Adult	Feeding	2005	10	27	Calling to above mentioned pairs	Pair	South Africa	Northern Cape	Unknown		-3.047.889	2.462.611	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
